Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
jiewenh,EvolSims,2023-10-04,2023-10-04,16,392.93805555555554,31.583333333333332,25.432883854728516,2.949663922611205,29.586666666666666,1000.3130555555542,927
jiewenh,EvolSims,2023-10-25,2023-10-25,17,660.7333333333333,33.6,12.292713178294575,7.136989399465006,23.936666666666667,1000.2158333333325,3225
/DC=org/DC=incommon/C=US/ST=Illinois/O=The University of Chicago/CN=xenon-rucio.grid.uchicago.edu,xenon,2023-10-15,2023-10-15,20,76.50916666666667,9.766666666666667,2.6127205463858854,2.6387967238815526,7.0,1001.0650000000021,1757
gpihan,WSU_3DHydro,2023-10-02,2023-10-02,15,120.75194444444445,20.366666666666667,3.4320780041054793,3.7080123851414233,9.816666666666666,1001.919999999999,2111
cormac,PixleyLab,2023-10-08,2023-10-09,20,387.5375,13.35,4.89521052631579,3.534516972044087,11.815,1000.1033333333313,4750
clin,KOTO,2023-10-13,2023-10-14,21,741.0952777777778,24.3,11.383952039597201,7.459167557630928,21.85,1004.3741666666729,3906
harini_hur6,PSU_Lynch,2023-10-11,2023-10-12,17,6.439166666666667,56.56666666666667,5.151333333333333,10.055445299944711,8.58,1005.336388888889,75
chunjian,SBU_Jia,2023-10-19,2023-10-19,26,70.31944444444444,19.083333333333332,9.90414710485133,5.5381205150741994,15.966666666666667,1002.6294444444441,426
sbhatta,SBU_Jia,2023-10-19,2023-10-19,26,55.01833333333333,22.366666666666667,7.468552036199095,6.360176452731774,20.6,1001.5511111111114,442
jjia,SBU_Jia,2023-10-21,2023-10-21,34,18.80611111111111,3.1333333333333333,2.745417680454177,0.4647929368751465,3.1,1000.4711111111108,411
valetov,MSU_Berz,2023-10-10,2023-10-11,25,42.71722222222222,7.366666666666666,2.321588164251208,0.9519399235712621,3.9166666666666665,1001.0474999999996,1104
cnatzke,Mines_Leach,2023-10-06,2023-10-10,20,3.5933333333333333,17.083333333333332,1.2044692737430167,1.2841339059489267,1.2166666666666666,1007.0586111111111,179
chunshen1987,WSU_3DHydro,2023-10-18,2023-10-18,27,209.5075,53.1,5.915505882352941,8.713207731610016,9.44,1000.0730555555571,2125
lsaleh,PSFmodeling,2023-10-03,2023-10-15,27,966.7252777777778,16.65,3.4624830865966256,1.7827292427254038,5.95,1000.0036111111062,16752
yangpink,EvolSims,2023-10-19,2023-10-20,27,2.5105555555555554,1.1,0.8510357815442562,0.12044947115407124,1.0166666666666666,1004.7925000000004,177
jclark1,LISA,2023-09-29,2023-10-24,39,1032.6544444444444,100.01666666666667,30.416920307641956,36.173204932557546,90.6,1000.515277777779,2037
ericking,MOLLER,2023-10-02,2023-10-02,19,85.87638888888888,5.466666666666667,2.835764079985324,1.2953804995572433,4.15,1000.1647222222236,1817
zackmweinstein,UCBerkeley_Altman,2023-10-04,2023-10-16,30,634.2894444444445,32.266666666666666,2.7748717948717947,2.1536172881385713,3.7666666666666666,1000.5519444444444,13715
jopacabra,NMSU_Sievert,2023-10-05,2023-10-11,26,4817.196111111111,106.85,53.91377852390723,25.530343265212466,93.33333333333333,1000.0338888888815,5361
arkajitmandal,Columbia_Mandal,2023-10-06,2023-10-09,25,214.2577777777778,18.7,3.7111624326404926,3.7902176727952126,10.9,1000.3475000000013,3464
anushd,EvolSims,2023-10-06,2023-10-06,23,212.05944444444444,12.733333333333333,12.083159227603671,0.44109711856996436,12.55,1000.4799999999993,1053
tuxino,REDTOP,2023-10-08,2023-10-09,25,67.21083333333333,24.266666666666666,2.037721071248105,0.9926644949774927,2.85,1004.0777777777787,1979
ahl,BiomedInfo,2023-10-09,2023-10-09,26,1963.6494444444445,25.666666666666668,12.108835217540253,5.308535322138101,18.131666666666668,1000.0083333333077,9730
xevra,CompBinFormMod,2023-10-11,2023-10-19,28,23.371388888888887,177.53333333333333,1.4981659544159542,5.785067436793341,1.8166666666666667,1000.9077777777775,936
alinia,SourceCoding,2023-10-12,2023-10-17,32,51.85666666666667,4.316666666666666,2.4518518518518517,0.8609785296440343,3.45,1001.4908333333335,1269
nascimentoff,NESCent,2023-10-13,2023-10-13,30,6.746944444444445,3.683333333333333,1.159933142311366,0.33842853253634153,1.2166666666666666,1001.9597222222224,349
abgvg9,UAB_Thyme,2023-10-14,2023-10-20,33,993.6994444444445,55.166666666666664,13.568950083447126,11.21942111216089,32.225,1000.368055555554,4394
zihangw,EvolSims,2023-10-15,2023-10-15,32,744.7977777777778,32.333333333333336,4.4430171670975005,4.197139776390201,6.716666666666667,1000.0130555555731,10058
curotto,Arcadia_Curotto,2023-10-17,2023-10-23,37,3175.4422222222224,35.2,17.96064605329311,9.36480276107377,30.183333333333334,1000.0483333333364,10608
yuw079,UCSD_Xu,2023-10-22,2023-10-23,39,82.89861111111111,6.916666666666667,1.206968373372159,0.6546291168133911,1.9,1002.163333333339,4121
