Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
gpihan,WSU_3DHydro,2025-07-21,2025-07-21,23,25.995,5.316666666666666,2.327910447761194,1.031954789642502,3.7,1001.8461111111116,670
xywu,WSU_3DHydro,2025-07-29,2025-07-29,15,3200.1780555555556,26.916666666666668,11.340776288071192,6.472159158215901,22.483333333333334,1000.0597222222198,16931
zhichenzhao,UCSD_Xu,2025-07-27,2025-07-27,18,578.1808333333333,57.166666666666664,13.487888802488335,9.274163741520447,26.35,1001.0522222222227,2572
zihangw,EvolSims,2025-07-30,2025-07-30,28,671.4247222222223,9.383333333333333,6.286748335414066,2.039077551212943,8.9,1000.0375000000022,6408
balleng,UNESP_Ballen,2025-08-04,2025-08-06,36,758.9672222222222,132.35,22.554746574211656,18.100636993787862,50.06666666666667,1002.208055555555,2019
miralittmann,futurecolliders,2025-08-06,2025-08-09,16,17491.95527777778,1118.9333333333334,29.33989311639783,57.4473712269735,38.916666666666664,1000.1638888888787,35771
miazsanborn,EvolSims,2025-07-26,2025-07-26,15,0.25305555555555553,5.833333333333333,5.061111111111112,1.2944682878109253,5.863333333333333,1050.8069444444445,3
rafat,UMontana_Roy,2025-07-30,2025-07-30,16,0.5758333333333333,34.55,34.55,0.0,0.0,2182.8355555555554,1
dfernando,CompBinFormMod,2025-07-23,2025-07-29,21,3.5008333333333335,176.65,42.01,75.906981270207,237.23,1010.1066666666667,5
lekhraj,USD_PHYS733,2025-07-21,2025-07-28,22,2654.498611111111,28.5,15.51279990909386,7.71309068406397,25.166666666666668,1000.5341666666775,10267
zrosenb,CompBinFormMod,2025-07-28,2025-07-29,16,3.0838888888888887,8.866666666666667,3.033333333333333,1.4305366773295907,5.346666666666667,1003.0761111111111,61
tangyicheng2017,PixleyLab,2025-08-03,2025-08-03,22,4436.598333333333,39.016666666666666,22.86317100403676,9.1649478976366,34.13333333333333,1000.0783333333337,11643
ahl,BiomedInfo,2025-07-17,2025-07-17,15,394.71444444444444,26.95,9.892592592592592,7.196645841647131,18.975,1000.2938888888892,2394
ethanmar,futurecolliders,2025-07-20,2025-07-20,16,2534.448888888889,67.21666666666667,31.522996130458818,24.26653692259686,62.275,1000.2488888888896,4824
izabela05,Purdue_Sharma,2025-07-22,2025-07-22,22,815.2263888888889,21.366666666666667,7.570590207914152,6.516173135991647,20.683333333333334,1000.3199999999784,6461
naveenkumar,WSU_3DHydro,2025-07-17,2025-07-25,20,1374.4047222222223,542.8833333333333,169.33117727583846,221.18210355919598,533.3366666666667,1000.398333333333,487
jvonderheyde,UCF_Kara,2025-07-20,2025-07-21,20,3378.630277777778,13003.4,66.99200815157523,836.5064139905396,18.616666666666667,1000.0294444444437,3026
ahoerter,TG-MED220017,2025-07-15,2025-07-15,16,49.28111111111111,31.883333333333333,3.0641105354058724,1.0502970695419382,3.5,1000.3797222222221,965
sgdlab,UMontana_Roy,2025-07-15,2025-07-16,18,9246.890555555556,1210.2,17.059634503823055,9.832525181823659,26.8,1000.0169444444545,32522
yuw079,UCSD_Xu,2025-07-16,2025-07-16,19,572.6277777777777,28.766666666666666,6.586975971370142,3.4984059347882335,12.133333333333333,1000.0549999999995,5216
akbarovic,WSU_3DHydro,2025-07-16,2025-07-16,19,23.545833333333334,10.183333333333334,3.2035147392290253,1.595151149339564,5.716666666666667,1002.7694444444445,441
anushd,EvolSims,2025-07-16,2025-07-16,19,565.0863888888889,5.2,3.262937477945658,0.8010796835851123,4.5,1000.0483333333322,10391
shafayetrahat,UMontana_Roy,2025-07-17,2025-07-26,27,389.7969444444444,21.383333333333333,3.3169503143762116,2.8123791556753592,7.733333333333333,1000.1072222222175,7051
moschelli,LTU_Moschelli,2025-07-17,2025-07-17,20,27.33888888888889,45.583333333333336,5.52300785634119,8.86962162067848,5.583333333333333,1000.874166666667,297
campbkri,CUAnschutz_JuarezColunga,2025-07-17,2025-07-17,20,98.09,20.066666666666666,5.030256410256411,2.0085260549896096,7.35,1000.6113888888884,1170
dsantra2,Illinois_Park,2025-07-20,2025-07-24,24,7496.376666666667,1489.0166666666667,102.29306345235388,301.64532372195356,48.690000000000005,1001.7400000000009,4397
somak,UCSD_Politis,2025-07-22,2025-07-25,26,1751.0013888888889,11.35,3.6830879345603273,2.542809308593832,8.066666666666666,1000.0397222222058,28525
mclauchc,SC_Gothe,2025-07-22,2025-07-22,25,12.801111111111112,20.516666666666666,3.383553597650514,2.3472925679698595,3.54,1002.1716666666672,227
vsoni11,DemoSims,2025-07-30,2025-07-30,33,4218.8575,751.25,24.563944687045126,24.332168258338392,34.766666666666666,1000.0213888888954,10305
monica_wannnn,EvolSims,2025-07-30,2025-08-02,33,2346.4069444444444,28.5,6.120263298989986,3.34959100630406,11.216666666666667,1000.5116666666661,23003
dallas,Yale_DeMartini,2025-08-05,2025-08-07,39,59.65027777777778,13.35,1.389369824016563,1.1333322423967505,1.7166666666666666,1000.4386111111104,2576
