Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
alice,WSU_3DHydro,2024-05-15,2024-05-15,18,84.92777777777778,9.25,4.176775956284152,0.7015067620506942,5.233333333333333,1000.0269444444441,1220
abgvg9,UAB_Thyme,2024-05-11,2024-05-11,17,567.2930555555556,64.16666666666667,13.136851923324327,7.832667826270436,24.633333333333333,1001.2800000000002,2591
arkajitmandal,Columbia_Mandal,2024-05-07,2024-05-21,34,203.9286111111111,13.566666666666666,5.002337149086944,2.8540413889178207,9.65,1000.1333333333356,2446
cnatzke,Mines_Leach,2024-05-13,2024-05-13,16,128.67472222222221,15.4,1.7175713756025213,1.8710052263371648,3.6666666666666665,1000.0633333333357,4495
ka784,PixleyLab,2024-05-07,2024-05-11,17,125.795,17.4,3.356024899955536,0.7855939517530427,4.483333333333333,1000.513333333334,2249
jopacabra,NMSU_Sievert,2024-05-03,2024-05-03,18,691.6680555555556,155.55,71.79945213379469,43.81508507725496,136.9,1000.9355555555567,578
yangpink,EvolSims,2024-05-13,2024-05-14,16,123.45777777777778,82.65,2.299027519139251,4.698341329109494,2.4,1000.2163888888921,3222
eswright,BiomedInfo,2024-04-30,2024-05-01,17,255.58166666666668,47.35,15.584247967479675,9.76630159475797,30.35,1000.1230555555566,984
vsoni11,DemoSims,2024-05-10,2024-05-11,20,8668.868055555555,321.85,19.2941643791577,13.234449497046086,33.166666666666664,1000.0361111110998,26958
lsaleh,PSFmodeling,2024-05-15,2024-05-15,16,626.1463888888889,49.833333333333336,15.517878287209141,10.790112070957411,32.05,1000.0144444444461,2421
aashish_tripathee,Michigan_Riles,2024-05-12,2024-05-14,16,0.18,3.966666666666667,1.8,1.061445555206044,4.746666666666667,1162.3133333333335,6
kjensen11,LBNL_Jensen,2024-05-07,2024-05-07,25,349.96944444444443,11.616666666666667,6.6031970649895175,3.029640816892397,10.881666666666666,1000.2077777777777,3180
jaclynrb1025,PSFmodeling,2024-05-22,2024-05-23,41,527.4127777777778,98.46666666666667,8.064415562351341,13.640915985413077,30.966666666666665,1003.473333333334,3924
ahl,BiomedInfo,2024-05-06,2024-05-07,21,2848.4175,1123.8166666666666,30.06245382585752,52.76935122119665,40.666666666666664,1000.3572222222215,5685
nkremerh,Seattle_Herman,2024-04-25,2024-04-25,15,69.52472222222222,4.95,1.8961287878787878,0.7065681720534305,2.3833333333333333,1000.3158333333391,2200
harini_hur6,PSU_Lynch,2024-04-27,2024-04-27,17,30.51972222222222,104.01666666666667,36.623666666666665,42.13085019834485,103.61666666666666,1003.4211111111113,50
jimenago14,UWMadison_Bechtol,2024-05-01,2024-05-02,21,47.20666666666666,24.766666666666666,11.107450980392157,6.818364392999869,22.029999999999998,1003.6202777777785,255
nicholas.ducharmebarth,NOAA_DucharmeBarth,2024-05-02,2024-05-02,22,5019.884444444445,333.28333333333336,67.26062230162275,110.62680398786115,330.03333333333336,1000.3383333333306,4478
znasipak,NASA_Nasipak,2024-05-03,2024-05-03,23,418.62555555555554,23.533333333333335,11.875902285263987,5.654626315589822,20.35,1000.2805555555553,2115
rahmans1,ePIC,2024-05-05,2024-05-05,25,272.75805555555553,1031.8833333333334,52.62213290460878,162.9685244159454,29.05,1000.8061111111117,311
jiewenh,EvolSims,2024-05-06,2024-05-07,26,229.04527777777778,41.983333333333334,18.87735805860806,12.515269588872759,37.02166666666667,1001.6722222222231,728
mclauchc,SC_Gothe,2024-05-07,2024-05-08,27,11.884444444444444,5.45,3.0868686868686868,0.46581522489576627,3.2,1002.8694444444444,231
sphanbit,JHU_Zhang,2024-05-09,2024-05-10,29,2284.7980555555555,268.3666666666667,114.1447821260061,84.86147470682894,238.58333333333334,1001.9405555555553,1201
jangsuyoon,UWMilwaukee_Yoon,2024-05-11,2024-05-11,31,128.33166666666668,11.75,11.208005822416304,0.5138680452809524,11.7,1000.6352777777781,687
yuw079,UCSD_Xu,2024-05-13,2024-05-21,39,22.647222222222222,53.11666666666667,2.2275956284153007,3.6599628785865894,2.783333333333333,1003.0391666666657,610
ekul,Caltech_Bouma,2024-05-14,2024-05-14,34,1675.5055555555555,92.0,8.445797978100758,3.5200758617293997,12.25,1000.1111111111106,11903
goodgolden_555,CUAnschutz_JuarezColunga,2024-05-15,2024-05-15,35,130.29083333333332,12.95,5.043516129032258,2.5786906994991563,6.883333333333334,1002.9369444444446,1550
hroch,WSU_3DHydro,2024-05-16,2024-05-16,36,320.49833333333333,64.3,28.03192419825073,28.14708032852361,63.33833333333334,1001.7505555555558,686
dandan,Stanford_Gilula,2024-05-18,2024-05-18,38,797.7836111111111,8.333333333333334,5.433876338593106,1.5735994920351966,7.65,1000.130833333331,8809
