Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
chunshen1987,WSU_3DHydro,2021-04-29,2021-04-29,20,12.613888888888889,1004.1727777777772,197
kneupane,CLAS12,2021-04-20,2021-04-29,26,114.65777777777778,1003.3777777777781,155
tuxino,REDTOP,2021-04-18,2021-04-20,18,18.173055555555557,1002.5366666666669,247
oshaughn,CompBinFormMod,2021-04-17,2021-04-17,25,5.657777777777778,1002.5841666666666,171
kvarela,SSGAforCSP,2021-04-27,2021-04-27,16,0.024444444444444446,3445.4622222222224,1
mzeng,UCSD_YZYou,2021-04-26,2021-04-30,28,279.4433333333333,1008.8213888888887,17
achapp,BiostatsChapple,2021-04-14,2021-04-15,16,2243.0655555555554,1000.0847222222222,9147
cgomes02,Tufts_Hempstead,2021-04-21,2021-04-21,18,1387.2141666666666,1000.4316666666683,2412
MinLinUConn,UConn_Zhang,2021-04-11,2021-04-12,16,82412.84666666666,1002.5549999999996,275
anushd,EvolSims,2021-04-25,2021-04-30,33,18.443055555555556,1043.499722222222,22
maplewen,UCMerced_Han,2021-04-11,2021-04-11,18,134.9597222222222,1000.2183333333345,591
bradena,SWOSU_SOCCER,2021-04-06,2021-04-23,26,1014.0436111111111,1013.0452777777746,4842
howardjp,COVID19_JHU_Howard,2021-04-08,2021-04-08,17,368.31166666666667,1000.355000000001,1404
alyons18,MIT_Choi,2021-04-11,2021-04-12,20,328.8905555555556,1002.6311111111119,1053
npcooley,BiomedInfo,2021-04-12,2021-04-13,21,14.768333333333333,1003.1561111111118,187
zackmweinstein,UCBerkeley_Altman,2021-04-13,2021-04-21,25,1729.3213888888888,1000.0199999999944,9108
dananjaya,OSURHIT,2021-04-15,2021-04-23,28,2578.4569444444446,1000.0441666666729,14824
parabola505,UMCES_Fitzpatrick,2021-04-15,2021-04-22,28,43.39388888888889,1007.9311111111111,396
jzorn,PSU_Chen,2021-04-16,2021-04-26,30,154.49833333333333,1001.272499999999,3932
ckc,eht,2021-04-19,2021-04-30,37,973.9283333333333,1000.1244444444443,1838
qic8,PainDrugs,2021-04-21,2021-04-29,31,13943.746111111112,1000.0005555555371,26627
syavuz,UWMadison_Kaplan,2021-04-24,2021-04-25,33,511.7630555555556,1000.002777777777,1483
bastodian,Guam_Bentlage,2021-04-30,2021-04-30,39,24057.943333333333,1000.008055555592,134461
