Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
owenhorecny,WSU_3DHydro,2025-05-05,2025-05-06,23,491143.8747222222,43052.7,42894.66154779233,432.737174130992,43046.26666666667,1000.7861111111105,687
dollynam47,LSU_Wilson,2025-05-14,2025-05-14,30,3383.3341666666665,58.1,33.99197086403215,13.234407142612286,55.5,1000.1250000000042,5972
jredeker,KOTO,2025-05-01,2025-05-16,34,6.7363888888888885,3.066666666666667,1.7272792022792023,0.4625355209801343,2.575,1000.9761111111121,234
tangyicheng2017,PixleyLab,2025-05-14,2025-05-14,16,45728.268055555556,78.35,42.415608993187604,21.209426279819816,71.68333333333334,1000.0411111110674,64686
wenbin,WSU_3DHydro,2025-05-17,2025-05-17,15,8.010277777777778,6.233333333333333,2.827156862745098,0.6859581244912235,3.7150000000000003,1010.8594444444449,170
jiyueqin,UCSD_Xu,2025-04-28,2025-04-28,17,39.66583333333333,12.266666666666667,4.265143369175627,1.1359736069390507,5.183333333333334,1002.2936111111121,558
zihangw,EvolSims,2025-05-03,2025-05-03,20,178.17805555555555,16.5,10.047634711779448,3.9314695469773997,14.666666666666666,1088.210277777778,1064
gpihan,WSU_3DHydro,2025-04-29,2025-04-29,18,80.09694444444445,8.366666666666667,3.8508146367521365,1.847423559420273,6.766666666666667,1000.5133333333329,1248
zhichenzhao,UCSD_Xu,2025-05-18,2025-05-20,39,8.468055555555555,9.666666666666666,7.258333333333334,1.5498837679135387,7.866666666666666,1002.2699999999996,70
avjoshi2,eht,2025-05-04,2025-05-04,24,205.10944444444445,48.38333333333333,6.728576635684345,9.98854918960283,12.466666666666667,1000.4255555555569,1829
tate,futurecolliders,2025-05-07,2025-05-08,23,4148.591944444444,553.9333333333333,134.04174295458625,168.98342020509062,421.4066666666667,1000.7366666666662,1857
dfernando,CompBinFormMod,2025-04-27,2025-04-27,17,2.6644444444444444,28.216666666666665,22.83809523809524,2.449673339631117,29.363333333333333,1093.0638888888889,7
akbarovic,WSU_3DHydro,2025-05-13,2025-05-13,29,35.05916666666667,26.783333333333335,4.215531062124248,3.6709719524270086,7.283333333333333,1000.7816666666672,499
tcotroneo,PSFmodeling,2025-05-02,2025-05-02,16,33.17055555555555,23.4,3.0952306894764123,2.124812347588881,4.67,1002.8375000000002,643
moschelli,LTU_Moschelli,2025-04-28,2025-04-28,17,37.03805555555556,23.2,5.329216626698641,4.916817384067655,10.633333333333333,1000.7405555555551,417
ahl,BiomedInfo,2025-04-30,2025-04-30,18,4333.475277777778,32.666666666666664,18.288564160277602,8.698405969687188,29.716666666666665,1001.4950000000108,14217
mclauchc,SC_Gothe,2025-05-07,2025-05-07,16,10169.289166666667,4803.2,4693.518076923077,128.1552978468421,4799.65,1009.5969444444446,130
zackmweinstein,UCBerkeley_Altman,2025-04-30,2025-05-02,16,2859.0261111111113,25.266666666666666,11.100140201026703,5.779893429804346,19.55,1000.005555555559,15454
mazindan2395,UCDenver_Roberts,2025-04-27,2025-04-27,18,10.749722222222223,3.15,1.3437152777777779,0.14748480437998746,1.4333333333333333,1001.8366666666665,480
anth0ny087,SeattleU_CPSC_5520_2025Sprin,2025-04-29,2025-05-20,36,1017.1786111111111,11.683333333333334,1.3054419513308093,1.5764188126341783,3.1333333333333333,1000.0552777777489,46751
ethank,SeattleU_CPSC_5520_2025Sprin,2025-04-30,2025-05-19,37,309.81333333333333,31.2,0.9063728119362231,0.8552943948996573,1.8333333333333333,1000.0850000000219,20509
yuxuanli,TC_Suk,2025-04-27,2025-04-30,20,560.7816666666666,144.0,11.137669645812645,11.549909722464697,28.116666666666667,1000.176388888888,3021
ericpham,SeattleU_CPSC_5520_2025Sprin,2025-05-06,2025-05-20,38,331.6744444444444,6.266666666666667,1.110083486733233,0.924117311187351,2.466666666666667,1000.0302777777962,17927
mylesjmorledge,SeattleU_CPSC_5520_2025Sprin,2025-05-06,2025-05-20,38,301.3147222222222,27.416666666666668,0.9508695804624906,1.3439830309178962,2.066666666666667,1000.0502777777822,19013
