Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
TimtheTyrant,UCSD_Rappel,2021-06-02,2021-06-02,15,5.573611111111111,1002.7194444444442,186
curotto,Arcadia_Curotto,2021-06-06,2021-06-06,24,0.1411111111111111,1237.9313888888887,3
anushd,EvolSims,2021-05-18,2021-05-27,16,366.4838888888889,1000.2086111111107,2128
zackmweinstein,UCBerkeley_Altman,2021-05-24,2021-05-24,15,2142.4241666666667,1000.2727777777716,9819
tuxino,REDTOP,2021-06-06,2021-06-07,26,13.389166666666666,1001.3877777777781,365
maplewen,UCMerced_Han,2021-05-19,2021-05-19,18,164.10444444444445,1002.5949999999998,473
alyons18,MIT_Choi,2021-06-01,2021-06-02,36,17.98111111111111,1008.3394444444432,563
ckc,eht,2021-05-16,2021-05-16,19,34.36944444444445,1003.0438888888889,620
bastodian,Guam_Bentlage,2021-05-17,2021-05-18,19,20313.005555555555,1000.0166666666508,49818
cgomes02,Tufts_Hempstead,2021-05-21,2021-06-02,25,9847.506944444445,1002.2163888888845,4422
yangpink,EvolSims,2021-06-01,2021-06-01,31,1995.9991666666667,1000.2572222222204,1469
achapp,BiostatsChapple,2021-06-04,2021-06-04,16,85.17166666666667,1055.1961111111111,2
mclauchc,SC_Gothe,2021-05-10,2021-05-13,15,36.05277777777778,1002.1572222222222,459
ghutchis,chemml,2021-05-10,2021-05-11,15,4.523055555555556,1021.4058333333332,48
golmoham,SourceCoding,2021-05-13,2021-05-13,18,456.2608333333333,1000.291388888886,2581
mmilhave,ASU_Pfeifer,2021-05-14,2021-05-17,19,440.1797222222222,1000.330833333334,943
pameyer,SBGrid,2021-05-19,2021-05-21,25,178.14,1000.0397222222485,39320
tylern,"SC_Gothe,CLAS12",2021-05-20,2021-05-27,31,10.108055555555556,1001.0324999999997,250
vbondar,PainDrugs,2021-05-22,2021-06-03,38,29.883055555555554,1000.4944444444446,407
urosas,GWU_Orti,2021-05-22,2021-06-05,32,403.68666666666667,1000.7888888889271,12006
rcoronel,g4PSI,2021-05-26,2021-06-03,36,68.07083333333334,1000.181666666665,784
stoessl,Hawaii_Doetinchem,2021-05-26,2021-06-05,40,4325.386944444444,1000.3533333334643,14699
victor_gonzalez,WayneStateU_Pruneau,2021-05-31,2021-06-01,36,4.238611111111111,1001.6977777777778,29
stranda,holosim,2021-06-02,2021-06-04,38,31.309722222222224,1000.1927777777773,411
vdiogo,psychosisfmri,2021-06-06,2021-06-07,42,3.011388888888889,1006.5599999999997,89
