Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
ahoerter,TG-MED220017,2025-07-10,2025-07-10,22,158.81972222222223,6.5,3.997140659955257,0.9773902731975104,5.55,1000.2611111111103,2384
TimtheTyrant,UCSD_Rappel,2025-07-07,2025-07-07,17,1232.1158333333333,22.783333333333335,14.688446254718855,4.952708442912388,20.066666666666666,1000.1022222222248,5033
tangyicheng2017,PixleyLab,2025-07-15,2025-07-16,15,24.59027777777778,12.283333333333333,4.869361936193619,2.9621435798838833,9.493333333333334,1001.0411111111111,303
msahadot97,UMontana_Roy,2025-07-06,2025-07-06,18,146.55805555555557,106.7,10.991854166666666,17.973449104788248,47.181666666666665,1000.3811111111114,800
sgdlab,UMontana_Roy,2025-07-15,2025-07-16,24,9247.051944444445,1210.2,17.059407701216575,9.832459087286638,26.8,1000.0244444444547,32523
ahl,BiomedInfo,2025-07-01,2025-07-03,16,9438.351666666667,1058.8333333333333,873.921450617284,313.0496208351312,1021.59,1003.6350000000011,648
pk558,PixleyLab,2025-07-07,2025-07-08,15,249.37777777777777,74.35,38.66322136089578,25.31584913680863,67.61,1000.78,387
wenbin,WSU_3DHydro,2025-07-10,2025-07-10,20,16.405555555555555,8.4,4.578294573643411,1.533015572535063,5.65,1000.5305555555548,215
lekhraj,USD_PHYS733,2025-07-09,2025-07-16,21,856.0019444444445,15.1,4.347394334405507,2.224911313852561,6.65,1000.193888888917,11814
dfernando,CompBinFormMod,2025-07-10,2025-07-23,27,8.64861111111111,184.66666666666666,34.59444444444444,63.27866427044626,179.85666666666665,1272.2844444444445,15
zhichenzhao,UCSD_Xu,2025-07-19,2025-07-19,21,32.70611111111111,9.65,5.318066847335141,2.6797508485405115,8.166666666666666,1001.4022222222225,369
zackmweinstein,UCBerkeley_Altman,2025-07-15,2025-07-15,17,474.3697222222222,19.783333333333335,8.839187370600415,5.197775530857287,16.533333333333335,1000.966666666666,3220
phiht,UConn_Le,2025-07-07,2025-07-07,16,9.245555555555555,13.3,2.017212121212121,1.10829683887676,2.066666666666667,1001.4388888888891,275
wdecatur,SUNYUpstateMed_Schmitt,2025-07-06,2025-07-15,18,22.80666666666667,66.51666666666667,21.38125,20.937018072055032,61.516666666666666,1012.7933333333335,64
gpihan,WSU_3DHydro,2025-07-21,2025-07-21,30,25.995,5.316666666666666,2.327910447761194,1.031954789642502,3.7,1001.8461111111116,670
yuxuanli,TC_Suk,2025-07-01,2025-07-02,15,152.31833333333333,15.483333333333333,3.80004158004158,1.7366861420235262,6.016666666666667,1000.2780555555566,2405
campbkri,CUAnschutz_JuarezColunga,2025-07-17,2025-07-17,35,97.96805555555555,20.066666666666666,5.0283005417735955,2.0082707130787396,7.35,1000.0555555555551,1169
rafat,UMontana_Roy,2025-07-03,2025-07-08,20,13.971388888888889,792.6166666666667,83.82833333333333,249.14063000964924,715.6916666666667,1050.2116666666666,10
miazsanborn,EvolSims,2025-07-21,2025-07-21,20,49.966944444444444,37.78333333333333,2.9191983122362872,2.472069026497176,4.483333333333333,1017.0111111111112,1027
uditvarma24,PixleyLab,2025-07-07,2025-07-10,25,13958.043055555556,55.0,34.863149751616575,12.972802759586225,50.55,1000.0311111111183,24022
shishirphy,UMontana_Roy,2025-07-07,2025-07-07,19,41698.21444444444,13363.783333333333,2327.342201550388,4964.0457788804615,12933.816666666668,1000.093055555555,1075
jkratz,GATech_Banerjee,2025-07-20,2025-07-20,20,695.0602777777777,20851.883333333335,20851.808333333334,0.10606601717798213,20851.988333333335,1546.3083333333334,2
cp3280,TC_Suk,2025-07-05,2025-07-05,15,69.9225,12.7,6.366236722306525,2.949194401809178,11.4,1002.8733333333328,659
naveenkumar,WSU_3DHydro,2025-07-08,2025-07-24,34,13.061944444444444,6.783333333333333,1.3606192129629628,0.9386389480762446,2.8,1002.1238888888893,576
zrosenb,CompBinFormMod,2025-06-30,2025-07-03,17,2.62,6.166666666666667,2.7578947368421054,1.539538767198128,4.95,1037.437222222222,57
miralittmann,futurecolliders,2025-07-08,2025-07-15,21,19276.454166666666,277.21666666666664,24.258300474013172,34.598268459728466,63.285,1000.2772222221935,47678
tuos,Vanderbilt_Paquet,2025-07-12,2025-07-12,24,135.48333333333332,11.333333333333334,5.575445816186557,3.515490430787746,10.666666666666666,1000.6533333333342,1458
larsonma,futurecolliders,2025-07-02,2025-07-07,22,4655.682777777778,889.2833333333333,161.46876685934487,268.0722203451125,666.95,1000.3261111111109,1730
ekul,Caltech_Bouma,2025-06-30,2025-06-30,16,818.0905555555555,19.25,8.297064457967094,3.8440259099406835,13.65,1000.2913888888914,5916
znasipak,UMBC_Nasipak,2025-07-03,2025-07-04,21,512.1125,23.583333333333332,10.391190395671288,7.488655799619187,21.1,1015.0563888888838,2957
