Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
yangpink,EvolSims,2024-04-01,2024-04-02,15,4.3677777777777775,5.583333333333333,2.8179211469534047,1.0402040066050142,4.716666666666667,1006.7275,93
zackmweinstein,UCBerkeley_Altman,2024-03-17,2024-03-18,17,2086.1766666666667,21.9,12.568591224018475,5.127376853190493,18.933333333333334,1000.0436111111087,9959
nkremerh,Seattle_Herman,2024-03-22,2024-03-23,16,37.819722222222225,3.5833333333333335,2.1367074701820465,0.26347121029829956,2.378333333333333,1003.7013888888897,1062
jopacabra,NMSU_Sievert,2024-04-09,2024-04-09,15,1393.4325,192.76666666666668,102.71001228501228,58.50589991040868,180.2,1000.5713888888889,814
eswright,BiomedInfo,2024-04-04,2024-04-04,20,3530.7238888888887,164.8,94.9970553064275,40.1906074384712,144.54833333333332,1000.363055555554,2230
zihangw,EvolSims,2024-03-31,2024-04-09,38,4.075277777777778,25.2,9.056172839506171,7.37558363350247,19.283333333333335,1029.5544444444445,27
/DC=org/DC=cilogon/C=US/O=University of Chicago/CN=Lanqing Yuan A33125231,xenon,2024-03-29,2024-03-29,23,351.0213888888889,51.833333333333336,15.729113766492407,15.709442599093359,41.483333333333334,1000.4116666666664,1339
cormac,PixleyLab,2024-04-06,2024-04-07,37,215436.32944444445,237.46666666666667,131.52401064984397,68.48034275908557,218.41666666666666,1000.0027777778824,98280
vdiogo,psychosisfmri,2024-04-06,2024-04-07,37,21.106944444444444,242.28333333333333,7.362887596899225,25.44868488366893,6.333333333333333,1006.7022222222223,172
lsaleh,PSFmodeling,2024-03-21,2024-03-21,15,2214.6344444444444,80.45,18.778697946108913,8.08540639489516,27.416666666666668,1000.0011111111113,7076
wew012,UCSD_Bradic,2024-03-28,2024-03-29,15,774.5305555555556,417.98333333333335,172.1179012345679,149.6644017669406,406.61333333333334,1002.9683333333338,270
znasipak,NASA_Nasipak,2024-03-26,2024-03-26,17,13.548055555555555,7.35,2.999569495694957,0.6325342743427461,4.046666666666667,1002.2486111111112,271
cnatzke,Mines_Leach,2024-04-09,2024-04-10,15,270.87111111111113,11.95,2.470700314178575,2.4304984092308235,5.75,1000.099166666671,6578
xevra,CompBinFormMod,2024-03-18,2024-03-19,15,2244.8966666666665,5541.016666666666,140.89309623430964,863.2400984991183,4.566666666666666,1000.5141666666669,956
sadifenchen,IIT_Kang,2024-03-29,2024-03-31,17,511.2761111111111,1940.6166666666666,107.26072261072262,330.76281733149307,298.4266666666666,1027.1719444444443,286
alice,WSU_3DHydro,2024-03-26,2024-03-28,17,12391.144166666667,30943.216666666667,1295.2415505226481,6113.413822554752,102.925,1000.7491666666664,574
klucik,NOAA_Bell,2024-03-27,2024-03-28,16,9479.404166666667,62.8,33.06768895348837,18.933465545002715,60.96666666666667,1000.0322222222238,17200
ekul,Caltech_Bouma,2024-03-22,2024-03-23,18,2164.212777777778,20.933333333333334,7.636601191876421,2.9898000734556343,11.55,1000.0727777777781,17004
bboudreaux,WSU_3DHydro,2024-03-21,2024-03-21,21,222983.74777777778,20292.983333333334,20240.5822491175,14.13500151263129,20256.5,1000.5941666666662,661
arkajitmandal,Columbia_Mandal,2024-04-04,2024-04-09,19,2007.2,13.95,6.42304,2.197401310481254,8.85,1000.0997222222128,18750
ahl,BiomedInfo,2024-03-28,2024-03-28,24,20.885277777777777,61.85,4.972685185185185,5.267987182412301,10.223333333333333,1004.0472222222229,252
gpagola,SSGAforCSP,2024-03-20,2024-03-26,20,1370.2613888888889,8968.533333333333,1040.7048523206752,1943.4022671068267,4298.166666666667,1001.2061111111109,79
n8kaib,PSI_Kaib,2024-03-26,2024-03-26,15,8.766944444444444,4.483333333333333,1.9627487562189054,0.7605918681572233,3.033333333333333,1000.4977777777784,268
jangsuyoon,UWMilwaukee_Yoon,2024-03-18,2024-03-19,17,5.034722222222222,59.833333333333336,2.697172619047619,5.455037752283951,2.5,1003.6427777777773,112
yuw079,UCSD_Xu,2024-03-18,2024-03-18,19,321.9075,678.4833333333333,13.112321792260692,58.31310889682616,9.45,1008.0916666666666,1473
somak,UCSD_Politis,2024-03-27,2024-04-02,29,342.3905555555556,17.15,4.535975564878192,2.9507160698188906,9.016666666666667,1001.0422222222196,4529
mclauchc,SC_Gothe,2024-03-28,2024-03-28,29,12.567222222222222,6.833333333333333,3.264213564213564,0.5780725466304979,3.3800000000000003,1001.065555555555,231
alexs,MSU_RCI,2024-03-29,2024-03-29,30,2887.308611111111,113.35,16.475370106197495,7.979378036791854,24.766666666666666,1000.7049999999989,10515
abgvg9,UAB_Thyme,2024-04-01,2024-04-02,33,95081.45305555555,1129.55,93.58871308189926,82.13477852746993,192.96666666666667,1000.0494444445212,60957
kjensen11,LBNL_Jensen,2024-04-02,2024-04-03,34,116.64027777777778,37.68333333333333,8.769945697577276,7.065477756008432,18.94,1003.8211111111113,798
kwu97,UCSD_Politis,2024-04-09,2024-04-09,41,306.68055555555554,25.183333333333334,11.275020424836603,6.692626189771921,22.43166666666667,1012.2733333333337,1632
tuos,Vanderbilt_Paquet,2024-04-11,2024-04-11,43,75.47722222222222,9.65,5.205325670498084,2.0329461898711627,7.95,1000.4022222222219,870
