ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
futurecolliders,2026-04-22,2026-04-22,17,14276.253611111111,55.85,31.736762381128813,14.614821755233859,51.333333333333336,1000.0169444444505,26990
xenon,2026-05-04,2026-05-06,15,1290.5816666666667,5774.25,17.554953525277714,87.46891292253822,31.15,1000.7233333333351,4411
