Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
zackmweinstein,UCBerkeley_Altman,2021-06-01,2021-06-02,20,5213.262222222223,1000.016666666692,35884
TimtheTyrant,UCSD_Rappel,2021-06-02,2021-06-02,15,5.722222222222222,1003.2816666666663,191
tuxino,REDTOP,2021-06-06,2021-06-07,25,13.389166666666666,1001.3877777777781,365
anushd,EvolSims,2021-05-18,2021-05-27,16,366.4838888888889,1000.2086111111107,2128
curotto,Arcadia_Curotto,2021-06-06,2021-06-06,24,0.1411111111111111,1237.9313888888887,3
maplewen,UCMerced_Han,2021-05-19,2021-05-19,17,164.10444444444445,1002.5949999999998,473
alyons18,MIT_Choi,2021-06-01,2021-06-02,35,17.98111111111111,1008.3394444444432,563
ckc,eht,2021-05-16,2021-05-16,18,34.22277777777778,1000.2794444444445,619
bastodian,Guam_Bentlage,2021-05-17,2021-05-18,18,20312.2075,1000.0058333333174,49817
cgomes02,Tufts_Hempstead,2021-05-21,2021-06-02,24,9847.506944444445,1002.2163888888845,4422
yangpink,EvolSims,2021-06-01,2021-06-01,30,1995.9991666666667,1000.2572222222204,1469
achapp,BiostatsChapple,2021-06-04,2021-06-04,15,85.17166666666667,1055.1961111111111,2
mclauchc,SC_Gothe,2021-05-17,2021-05-18,15,188.35972222222222,1006.2294444444445,100
golmoham,SourceCoding,2021-05-13,2021-05-13,17,456.2608333333333,1000.291388888886,2581
mmilhave,ASU_Pfeifer,2021-05-14,2021-05-17,18,441.16,1001.3111111111117,944
pameyer,SBGrid,2021-05-19,2021-05-21,24,178.14,1000.0397222222485,39320
tylern,"CLAS12,SC_Gothe",2021-05-20,2021-05-27,30,10.108055555555556,1001.0324999999997,250
vbondar,PainDrugs,2021-05-22,2021-06-03,37,29.883055555555554,1000.4944444444446,407
urosas,GWU_Orti,2021-05-22,2021-06-05,31,403.68666666666667,1000.7888888889271,12006
rcoronel,g4PSI,2021-05-26,2021-06-03,35,67.97305555555556,1000.6722222222204,783
stoessl,Hawaii_Doetinchem,2021-05-26,2021-06-05,39,4325.386944444444,1000.3533333334643,14699
victor_gonzalez,WayneStateU_Pruneau,2021-05-31,2021-06-01,35,4.238611111111111,1001.6977777777778,29
stranda,holosim,2021-06-02,2021-06-04,37,31.309722222222224,1000.1333333333329,411
vdiogo,psychosisfmri,2021-06-06,2021-06-07,41,3.011388888888889,1006.5599999999997,89
