Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
nishantpanicker,BiomedInfo,2025-05-22,2025-05-23,22,7.5125,90.93333333333334,3.1302083333333335,7.40648799159616,3.591666666666667,1003.8466666666667,144
gpihan,WSU_3DHydro,2025-05-30,2025-05-30,28,127.16027777777778,13.433333333333334,6.352719955592562,3.164316233454879,10.033333333333333,1000.3988888888898,1201
yuw079,UCSD_Xu,2025-05-15,2025-05-15,16,178.76166666666666,19.433333333333334,5.112345090562441,1.74952336401642,7.45,1000.0552777777783,2098
nkremerh,Seattle_Herman,2025-05-19,2025-05-19,21,1765.328888888889,27.383333333333333,5.561550713223069,7.454386556928596,19.733333333333334,1000.0622222222299,19045
anth0ny087,SeattleU_CPSC_5520_2025Sprin,2025-05-13,2025-05-20,22,895.7125,11.683333333333334,1.2735248815165876,1.6399680059720498,3.316666666666667,1000.0516666666442,42200
ka784,PixleyLab,2025-05-26,2025-05-26,15,3459.661111111111,26.516666666666666,14.148978710835435,6.402358679281985,22.983333333333334,1000.0205555555518,14671
tcotroneo,PSFmodeling,2025-05-20,2025-05-21,18,1280.4877777777779,56.833333333333336,17.40975904524511,11.325260179893894,29.566666666666666,1000.619166666664,4413
pk558,PixleyLab,2025-06-02,2025-06-03,32,2094.3597222222224,76.03333333333333,8.017199396027392,7.317235241336734,19.966666666666665,1000.0225000000012,15674
xevra,CompBinFormMod,2025-05-14,2025-05-21,22,2.4033333333333333,7.733333333333333,3.794736842105263,1.5711126547518128,6.551666666666667,1005.955,38
zihangw,EvolSims,2025-05-19,2025-05-26,22,44.53666666666667,11.916666666666666,10.47921568627451,1.2477650340330193,11.916666666666666,1000.6266666666673,255
tangyicheng2017,PixleyLab,2025-05-29,2025-05-29,21,25407.08361111111,51.86666666666667,28.651912727500548,12.409375671731976,43.906666666666666,1000.0372222221723,53205
