ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
futurecolliders,2026-07-15,2026-07-15,17,5.3933333333333335,11.033333333333333,3.7195402298850575,2.2783034721515993,6.48,1004.4622222222226,87
xenon,2026-07-20,2026-07-20,15,1613.0252777777778,42.53333333333333,10.007394960879605,7.962203791604706,20.913333333333334,1000.0761111111099,9671
KOTO,2026-07-07,2026-07-31,30,6.0280555555555555,10.95,1.6074814814814815,1.3758230140717165,2.9366666666666665,1000.4297222222218,225
