ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
futurecolliders,2026-08-20,2026-08-22,15,1024.9330555555555,74.31666666666666,22.451983692345138,23.623214291657735,60.85,1000.1697222222198,2739
futurecolliders,2026-09-04,2026-09-11,34,22.73,38.5,5.433466135458167,8.594334437682623,22.25,1007.1750000000003,251
