Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
kjensen11,UNL_Fuchs,2023-03-16,2023-03-16,15,42.06055555555555,200.55,5.235753803596127,17.116718976229585,4.023333333333333,1001.7461111111115,482
cnatzke,Mines_Leach,2023-03-13,2023-03-13,30,25.00611111111111,10.266666666666667,2.4636562671045428,0.36861036071661923,2.5166666666666666,1000.7508333333338,609
achapp,BiostatsChapple,2023-02-24,2023-02-25,15,216.75666666666666,47.25,5.210496794871795,3.541109715998975,9.583333333333334,1000.338333333332,2496
naharrison,Emory_Lin,2023-03-06,2023-03-08,23,989.2094444444444,21.266666666666666,4.158380625423294,2.6013337136958703,8.433333333333334,1000.0463888888958,14273
abgvg9,UAB_Thyme,2023-03-10,2023-03-16,24,1367.9202777777778,162.45,65.39857901726427,44.02130473602717,133.83333333333334,1000.6430555555546,1255
shafayetrahat,UMontana_Roy,2023-02-27,2023-02-28,21,44.215555555555554,4.083333333333333,2.514628751974724,0.747542397407286,3.533333333333333,1017.7222222222223,1055
aashish_tripathee,Michigan_Riles,2023-03-05,2023-03-05,18,3.83,3.3666666666666667,1.3283236994219654,0.1668234240633157,1.3833333333333333,1003.358888888889,173
npcooley,BiomedInfo,2023-03-06,2023-03-08,20,313.91055555555556,153.88333333333333,42.420345345345346,31.997086241510843,81.325,1012.3066666666665,444
goodgolden_555,CUAnschutz_JuarezColunga,2023-03-03,2023-03-03,27,203.49027777777778,58.93333333333333,4.98343537414966,6.7645953567970984,15.05,1000.4091666666664,2450
abills,CMU_Viswanathan,2023-02-23,2023-02-24,19,46.65694444444444,157.81666666666666,9.962336892052196,17.719419555966955,29.796666666666667,1004.446944444444,281
violachenyt,EvolSims,2023-02-20,2023-02-20,15,23.613333333333333,9.05,2.393243243243243,1.0627759481971355,3.7333333333333334,1000.2827777777776,592
rkhatiwada,LoyolaChicago_Li,2023-02-27,2023-03-01,23,4.380833333333333,3.8666666666666667,1.0772540983606558,0.4995156969609068,1.85,1005.7011111111115,244
gpagola,SSGAforCSP,2023-02-25,2023-02-26,20,55.143055555555556,495.2,26.68212365591398,61.348282361860946,45.69166666666667,1001.0016666666668,124
shc167,BiomedInfo,2023-02-27,2023-03-14,27,102330.34138888889,501.96666666666664,478.7757706903722,53.718983633912494,500.76666666666665,1004.3077777780416,12824
arkajitmandal,Columbia_Mandal,2023-02-22,2023-02-23,17,122.71055555555556,10.15,2.1725090980623585,1.9849017199721721,5.95,1000.1166666666652,3389
chenzhuo,MIT_Choi,2023-03-06,2023-03-06,16,453.56888888888886,26.583333333333332,13.399376333497456,5.989461269547451,22.383333333333333,1001.1244444444459,2031
ahoerter,TG-MED220017,2023-02-20,2023-02-20,17,415.11055555555555,40.63333333333333,11.404136141636142,4.323864843328333,16.683333333333334,1000.1744444444433,2184
ahoerter,TG-MED220017,2023-03-13,2023-03-13,18,780.47,63.63333333333333,27.741824644549762,17.177041674696305,50.85,1000.1869444444441,1688
ananya_11,"OSGUserSchool2022,sugwg",2023-02-22,2023-02-23,16,47.91,19.116666666666667,3.442634730538922,3.414345389786858,2.8333333333333335,1012.0727777777778,835
veprbl,EIC,2023-02-20,2023-02-22,19,25.002222222222223,72.46666666666667,2.5085841694537345,3.4031158310102403,5.633333333333334,1000.1480555555559,598
ahl,BiomedInfo,2023-02-21,2023-03-08,33,3676.576666666667,1055.6,18.83492144808743,84.6908026050303,16.178333333333335,1000.040277777767,11712
cody.messick,UTAustin_Zimmerman,2023-02-22,2023-02-23,21,91.21888888888888,38.25,17.375026455026454,7.364762722732004,25.613333333333333,1021.4336111111115,315
yangpink,EvolSims,2023-02-23,2023-02-24,22,100.06166666666667,59.016666666666666,5.0030833333333335,7.225033078559908,13.868333333333334,1000.6508333333322,1200
sadifenchen,IIT_Kang,2023-02-23,2023-03-01,22,127.03333333333333,345.03333333333336,22.820359281437124,48.68163770718736,94.63333333333334,1002.2336111111115,334
avjoshi2,eht,2023-02-24,2023-02-24,23,107.4725,80.0,9.920538461538461,7.225381485712767,17.048333333333332,1000.0255555555566,650
aaron.zimmerman,UTAustin_Zimmerman,2023-02-24,2023-02-25,23,76.48027777777777,154.0,8.34330303030303,7.744695914875862,13.15,1003.910833333333,550
rngeorge,UTAustin_Zimmerman,2023-02-25,2023-02-25,24,243.9686111111111,522.6166666666667,15.689299749910681,54.37403365590651,19.573333333333334,1004.8863888888895,933
valetov,MSU_Berz,2023-02-28,2023-02-28,27,291.52555555555557,168.8,30.958466076696162,38.478882452665225,96.67333333333333,1001.9324999999997,565
jjia,SBU_Jia,2023-03-01,2023-03-03,28,28.23138888888889,59.21666666666667,6.416224747474748,8.07047425656057,5.383333333333334,1002.5063888888889,264
phou001,FIU_Hamid,2023-03-01,2023-03-15,34,114.99277777777777,30.133333333333333,2.8832288619584903,1.6004398791603893,4.276666666666667,1000.1927777777759,2393
chunjian,SBU_Jia,2023-03-01,2023-03-02,28,650.285,39.583333333333336,4.652647269258288,2.143637582571226,7.416666666666667,1000.3580555555594,8386
