Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
yangpink,EvolSims,2021-05-04,2021-05-07,29,663.3297222222222,1000.6199999999999,1025
nishantpanicker,BiomedInfo,2021-04-26,2021-05-05,29,219.12555555555556,1000.3766666666709,2529
chunshen1987,WSU_3DHydro,2021-04-29,2021-04-29,20,12.492777777777778,1001.9661111111108,196
kvarela,SSGAforCSP,2021-04-27,2021-04-27,16,0.024444444444444446,3445.4622222222224,1
anushd,EvolSims,2021-04-25,2021-04-30,27,18.443055555555556,1043.499722222222,22
tuxino,REDTOP,2021-04-18,2021-04-20,18,18.173055555555557,1002.5366666666669,247
kneupane,CLAS12,2021-04-20,2021-04-29,23,114.65777777777778,1003.3777777777781,155
achapp,BiostatsChapple,2021-04-20,2021-04-20,17,14.928611111111111,1001.0286111111109,207
mzeng,UCSD_YZYou,2021-04-26,2021-04-30,25,279.4433333333333,1008.8213888888887,17
cgomes02,Tufts_Hempstead,2021-04-21,2021-04-21,16,1387.2141666666666,1000.4316666666683,2412
maplewen,UCMerced_Han,2021-04-27,2021-04-27,20,91.55083333333333,1001.0361111111116,620
zackmweinstein,UCBerkeley_Altman,2021-04-16,2021-04-21,17,1729.2319444444445,1000.0047222222166,9107
dananjaya,OSURHIT,2021-04-15,2021-04-23,20,2578.4569444444446,1000.0441666666729,14824
parabola505,UMCES_Fitzpatrick,2021-04-15,2021-04-22,20,43.39388888888889,1007.9311111111111,396
jzorn,PSU_Chen,2021-04-16,2021-04-26,22,154.49833333333333,1001.2724999999989,3932
oshaughn,CompBinFormMod,2021-04-17,2021-04-17,18,5.657777777777778,1002.5841666666666,171
ckc,eht,2021-04-19,2021-04-30,29,973.9283333333333,1000.1244444444443,1838
qic8,PainDrugs,2021-04-21,2021-04-29,23,13943.746111111112,1000.000555555537,26627
syavuz,UWMadison_Kaplan,2021-04-24,2021-04-25,25,511.7630555555556,1000.002777777777,1483
bastodian,Guam_Bentlage,2021-04-30,2021-04-30,31,24057.56027777778,1000.0052777778144,134460
ghutchis,chemml,2021-05-11,2021-05-11,42,6.411388888888889,1006.4297222222224,47
