Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
golmoham,SourceCoding,2021-05-13,2021-05-13,21,456.2608333333333,1000.291388888886,2581
maplewen,UCMerced_Han,2021-05-10,2021-05-10,23,251.8436111111111,1000.9702777777776,335
kvarela,SSGAforCSP,2021-04-27,2021-04-27,16,0.024444444444444446,3445.4622222222224,1
chunshen1987,WSU_3DHydro,2021-04-29,2021-04-29,20,12.492777777777778,1001.9661111111108,196
yangpink,EvolSims,2021-05-04,2021-05-07,27,663.1577777777778,1000.9952777777778,1024
cgomes02,Tufts_Hempstead,2021-04-30,2021-04-30,18,1.6622222222222223,1017.4086111111106,52
zackmweinstein,UCBerkeley_Altman,2021-05-11,2021-05-12,22,125.85138888888889,1001.2775000000012,687
achapp,BiostatsChapple,2021-05-07,2021-05-07,25,20.164444444444445,1000.1983333333332,275
jzorn,PSU_Chen,2021-04-26,2021-04-28,15,845.6136111111111,1002.7777777777791,830
ckc,eht,2021-04-29,2021-04-30,22,976.2658333333334,1002.2488888888886,1785
ckc,eht,2021-05-16,2021-05-16,15,34.36944444444445,1003.0438888888891,620
mclauchc,SC_Gothe,2021-05-10,2021-05-13,33,36.05277777777778,1002.1572222222222,459
kneupane,CLAS12,2021-04-25,2021-04-29,17,113.64055555555555,1002.8052777777777,133
qic8,PainDrugs,2021-04-21,2021-04-29,16,13943.746111111112,1000.000555555537,26627
syavuz,UWMadison_Kaplan,2021-04-24,2021-04-25,18,511.7630555555556,1000.002777777777,1483
anushd,EvolSims,2021-04-25,2021-04-30,21,18.443055555555556,1043.499722222222,22
nishantpanicker,BiomedInfo,2021-04-26,2021-05-05,27,219.12555555555556,1000.3463888888931,2529
mzeng,UCSD_YZYou,2021-04-26,2021-04-30,20,279.4433333333333,1008.8213888888887,17
bastodian,Guam_Bentlage,2021-04-30,2021-04-30,24,24057.56027777778,1000.0052777778144,134460
ghutchis,chemml,2021-05-10,2021-05-11,34,4.523055555555556,1021.4058333333332,48
mmilhave,ASU_Pfeifer,2021-05-14,2021-05-17,38,440.1797222222222,1000.330833333334,943
