Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
valetov,LancasterPPS,2022-07-06,2022-07-07,17,2.508611111111111,7.983333333333333,1.7707843137254902,0.9998607901858195,2.3466666666666667,1003.0563888888894,85
ncr006,Bucknell_Ryan,2022-06-28,2022-06-28,15,180.47611111111112,65.53333333333333,25.539072327044025,17.572465180595938,52.391666666666666,1000.843055555555,424
kvarela,SSGAforCSP,2022-07-12,2022-07-13,15,38.396388888888886,327.96666666666664,18.28399470899471,45.54251783410964,48.166666666666664,1006.3899999999996,126
curotto,Arcadia_Curotto,2022-07-05,2022-07-05,15,2159.795,34.05,20.488173913043475,9.570511359088242,32.016666666666666,1000.0102777777803,6325
jakea,UCSD_Gilson,2022-06-29,2022-06-30,17,99.0963888888889,15.616666666666667,3.6725036030471485,1.96781706851687,6.616666666666666,1001.3338888888889,1619
rsajith,UCBerkeley_Altman,2022-07-05,2022-07-18,40,916.2327777777778,95.83333333333333,25.439133117383925,15.043019878229524,42.35666666666667,1000.2169444444453,2161
anushd,EvolSims,2022-06-30,2022-06-30,20,598.7777777777778,14.466666666666667,4.331123166566204,3.309766745283785,10.073333333333332,1000.2730555555531,8295
abills,CMU_Viswanathan,2022-06-21,2022-06-21,15,1.1841666666666666,1.9666666666666666,1.3405660377358493,0.22988545628729398,1.9666666666666666,1011.7361111111112,53
chaika7191,WSU_3DHydro,2022-06-29,2022-06-30,17,4.975555555555555,6.483333333333333,1.9770419426048564,0.7118695826298062,2.966666666666667,1000.3594444444442,151
mjanssen,eht,2022-06-23,2022-06-28,18,6.295,10.116666666666667,0.42629796839729117,0.7653677948522513,1.0,1007.2,886
achapp,BiostatsChapple,2022-06-28,2022-06-29,23,948.9025,32.983333333333334,18.87111368909513,9.6849995095319,30.6,1000.6275000000003,3017
ahl,BiomedInfo,2022-07-05,2022-07-05,30,241.58527777777778,13.416666666666666,5.784164671455174,3.1960873168176374,11.2,1000.110555555549,2506
phiht,UConn_Le,2022-07-07,2022-07-07,32,59.980555555555554,16.633333333333333,0.781505609844372,1.1438441351810273,2.933333333333333,1000.0775000000012,4605
colbrydi,MSU_Collbry,2022-07-13,2022-07-14,38,9.392222222222221,6.883333333333334,1.0302254722730042,0.520058082313509,1.2833333333333334,1010.861666666667,547
