ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
futurecolliders,2026-08-22,2026-09-18,31,97.57611111111112,883.5833333333334,35.69857723577236,112.06754245052977,63.80833333333333,1018.6838888888891,164
futurecolliders,2026-09-04,2026-09-11,32,22.73,38.5,5.433466135458167,8.594334437682623,22.25,1007.1750000000003,251
