ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Max Minutes In Queue,Average Minutes In Queue,Standard Deviation in Minutes,90% Queue Time in Minutes,Aggregate Core Hours,Number of Jobs
futurecolliders,2026-08-18,2026-08-22,17,585.4005555555556,57.81666666666667,13.677583073727934,16.07211666423428,39.835,1000.2872222222178,2568
futurecolliders,2026-09-04,2026-09-11,36,22.73,38.5,5.433466135458167,8.594334437682623,22.25,1007.1750000000003,251
