Username,ProjectName,Start Time,End Time,Days of Zero Usage,Aggregate Hours In Queue,Aggregate Core Hours,Number of Jobs
achapp,BiostatsChapple,2021-04-20,2021-04-20,16,14.928611111111111,1001.0286111111109,207
chunshen1987,WSU_3DHydro,2021-04-29,2021-04-29,20,12.492777777777778,1001.9661111111108,196
kvarela,SSGAforCSP,2021-04-27,2021-04-27,16,0.024444444444444446,3445.4622222222224,1
nishantpanicker,BiomedInfo,2021-04-26,2021-05-05,29,219.12555555555556,1000.3766666666709,2529
mzeng,UCSD_YZYou,2021-04-26,2021-04-30,24,279.4433333333333,1008.8213888888887,17
yangpink,EvolSims,2021-05-04,2021-05-07,29,663.1577777777778,1000.9952777777778,1024
cgomes02,Tufts_Hempstead,2021-04-21,2021-04-21,15,1387.2141666666666,1000.4316666666683,2412
maplewen,UCMerced_Han,2021-04-27,2021-04-27,19,91.55083333333333,1001.0361111111116,620
golmoham,SourceCoding,2021-05-13,2021-05-13,26,456.2608333333333,1000.291388888886,2581
tuxino,REDTOP,2021-04-18,2021-04-20,18,18.173055555555557,1015.0294444444446,247
zackmweinstein,UCBerkeley_Altman,2021-04-16,2021-04-21,16,1729.6127777777779,1000.1663888888833,9109
dananjaya,OSURHIT,2021-04-15,2021-04-23,19,2578.4569444444446,1000.0441666666729,14824
parabola505,UMCES_Fitzpatrick,2021-04-15,2021-04-22,19,43.39388888888889,1007.9311111111111,396
jzorn,PSU_Chen,2021-04-16,2021-04-26,21,154.49833333333333,1001.272499999999,3932
oshaughn,CompBinFormMod,2021-04-17,2021-04-17,17,5.657777777777778,1002.5841666666666,171
ckc,eht,2021-04-19,2021-04-30,28,973.9283333333333,1000.1244444444443,1838
mclauchc,SC_Gothe,2021-04-19,2021-05-13,39,36.11555555555555,1002.2419444444444,461
kneupane,CLAS12,2021-04-20,2021-04-29,23,114.65777777777778,1003.3777777777781,155
qic8,PainDrugs,2021-04-21,2021-04-29,22,13943.746111111112,1000.000555555537,26627
syavuz,UWMadison_Kaplan,2021-04-24,2021-04-25,24,511.7630555555556,1000.002777777777,1483
anushd,EvolSims,2021-04-25,2021-04-30,27,18.443055555555556,1043.499722222222,22
bastodian,Guam_Bentlage,2021-04-30,2021-04-30,30,24057.943333333333,1000.008055555592,134461
ghutchis,chemml,2021-05-11,2021-05-11,41,6.411388888888889,1010.5425000000001,47
